,WeekDay,B365H,B365D,B365A,margin,UPD
0,0,1.57,3.9,7.5,0.9740073810129803,-1.0
1,3,1.9,3.6,4.5,0.9743589743589745,-1.0
2,3,2.5,3.4,3.0,0.9732824427480917,-1.0
3,3,6.5,4.0,1.61,0.9756438643514742,-1.0
4,3,3.9,3.5,2.04,0.968691296180338,-1.0
5,3,2.37,3.2,3.4,0.9722343714651986,-1.0
6,3,2.37,3.3,3.3,0.9727611940298508,2.3
7,5,4.0,3.8,1.95,0.9746793817823085,-1.0
8,5,1.25,6.5,14.0,0.97534833869239,-1.0
9,5,1.85,3.5,5.0,0.9744168547780288,2.5
10,5,3.25,3.1,2.54,0.9765875438864297,2.1
11,5,1.8,4.0,4.5,0.972972972972973,-1.0
12,5,1.9,3.5,4.75,0.9779411764705883,-1.0
13,5,2.04,3.5,3.9,0.9686912961803382,-1.0
14,5,1.28,6.0,12.0,0.9696969696969697,-1.0
15,5,2.1,3.6,3.7,0.9763350785340316,-1.0
16,6,5.5,3.6,1.75,0.9699090272918125,-1.0
17,6,2.45,3.1,3.4,0.9757415454373701,-1.0
18,6,1.1,13.0,26.0,0.9761092150170647,-1.0
19,0,7.0,5.0,1.44,0.9640397857689366,-1.0
20,5,1.36,5.5,9.0,0.972551285755562,-1.0
21,5,2.62,3.6,2.75,0.9774277423974074,2.6
22,5,2.37,3.0,3.7,0.975091738018459,2.0
23,5,1.16,8.5,19.0,0.9686659772492243,-1.0
24,5,2.45,3.2,3.25,0.9724262952008396,-1.0
25,5,11.0,6.5,1.28,0.974653887113951,5.5
26,6,2.0,3.4,4.33,0.9755483400702404,-1.0
27,6,5.75,4.0,1.66,0.974352430777083,-1.0
28,6,2.6,3.25,3.0,0.9750000000000001,-1.0
29,0,2.62,3.3,2.9,0.9713101417835284,-1.0
30,1,2.3,3.4,3.4,0.9774999999999999,2.4
31,1,1.3,6.0,11.0,0.9738933030646992,-1.0
32,1,2.0,3.5,4.2,0.9767441860465117,-1.0
33,1,1.53,4.2,7.5,0.9755875387137913,3.2
34,1,7.5,5.0,1.44,0.972972972972973,-1.0
35,1,1.11,11.0,26.0,0.9706179105390285,-1.0
36,1,2.6,3.4,2.87,0.9735533384497314,-1.0
37,4,6.0,3.75,1.7,0.9788867562380039,-1.0
38,4,6.5,4.33,1.57,0.9787266795280422,-1.0
39,4,5.5,4.2,1.64,0.9711853978671042,-1.0
