WeekDay,B365H,B365D,B365A,margin,UPD
6,1.85,3.6,4.75,0.9719640525385975,-1.0
6,2.0,3.6,4.0,0.972972972972973,-1.0
6,2.0,3.6,4.0,0.972972972972973,-1.0
6,2.3,3.4,3.4,0.9774999999999999,-1.0
6,2.37,3.3,3.3,0.9727611940298508,-1.0
6,2.0,3.5,4.2,0.9767441860465117,-1.0
6,2.5,3.4,3.0,0.9732824427480917,-1.0
6,2.14,3.4,3.75,0.9726925956293893,2.4
6,2.8,3.4,2.7,0.9788271134805788,-1.0
6,2.4,3.3,3.3,0.9777777777777777,-1.0
6,2.6,3.4,2.9,0.9769817073170731,2.4
6,1.8,3.75,5.0,0.9782608695652175,-1.0
3,2.7,3.25,2.87,0.9741891186198094,-1.0
3,2.7,3.4,2.8,0.9788271134805788,2.4
3,2.1,3.5,3.75,0.9722222222222223,-1.0
3,2.4,3.3,3.25,0.9733408961996596,-1.0
3,2.6,3.3,3.0,0.9794520547945207,2.3
3,1.85,3.8,4.5,0.9747342474195041,-1.0
3,2.54,3.3,3.0,0.9708130646282142,-1.0
3,1.85,3.75,4.5,0.9714119019836641,-1.0
3,3.5,3.3,2.3,0.9770136079440969,-1.0
3,2.5,3.4,3.0,0.9732824427480917,-1.0
3,2.0,3.6,4.0,0.972972972972973,-1.0
3,4.0,3.5,2.04,0.9747440273037543,2.5
4,1.61,4.2,6.0,0.9747729566094854,-1.0
5,2.1,3.8,3.5,0.9755501222493889,2.8
5,2.7,3.5,2.7,0.9742268041237113,-1.0
5,3.2,3.4,2.37,0.9722343714651986,2.4
5,2.04,3.5,3.9,0.9686912961803382,2.5
5,4.2,3.8,1.9,0.9731707317073173,2.8
5,2.2,3.4,3.6,0.9742402315484805,2.4
5,1.95,3.4,4.5,0.971665852467025,2.4
5,1.8,3.75,5.0,0.9782608695652175,-1.0
5,2.04,3.5,4.0,0.9747440273037543,-1.0
5,1.64,3.9,6.0,0.9682107175295185,-1.0
5,2.3,3.5,3.25,0.9725836431226765,-1.0
1,2.45,3.5,3.0,0.9735099337748346,-1.0
1,2.14,3.4,3.75,0.9726925956293893,-1.0
1,2.0,3.5,4.1,0.9712351945854483,-1.0
1,2.87,3.5,2.54,0.9729073243647236,2.5
1,2.35,3.4,3.25,0.9733858120138693,2.4
1,2.04,3.4,4.1,0.9725581395348837,-1.0
1,2.4,3.5,3.1,0.9756463094792058,2.5
1,1.75,3.75,5.25,0.9722222222222223,2.75
1,4.2,3.5,2.0,0.9767441860465117,-1.0
1,2.37,3.4,3.2,0.9722343714651986,-1.0
1,2.7,3.4,2.8,0.9788271134805788,2.4
1,2.54,3.5,2.9,0.9763311368628343,2.5
5,2.04,3.6,3.8,0.9698081734778984,-1.0
5,1.95,3.75,4.0,0.971357409713574,-1.0
5,2.0,3.6,4.0,0.972972972972973,-1.0
5,2.9,3.4,2.6,0.9769817073170731,-1.0
5,2.5,3.4,3.0,0.9732824427480917,2.4
5,1.9,4.0,4.0,0.9743589743589745,-1.0
5,3.75,3.5,2.1,0.9722222222222223,2.5
5,2.04,3.5,3.9,0.9686912961803382,-1.0
5,3.2,3.4,2.37,0.9722343714651986,-1.0
5,2.0,3.5,4.2,0.9767441860465117,-1.0
5,2.14,3.5,3.6,0.9701374397351946,-1.0
5,2.4,3.4,2.8,0.9363934426229509,-1.0
1,1.8,3.75,5.0,0.9782608695652175,-1.0
1,4.0,3.6,2.0,0.972972972972973,-1.0
1,2.25,3.5,3.4,0.976298997265269,-1.0
1,2.87,3.4,2.62,0.9763440695960344,-1.0
1,2.5,3.4,3.0,0.9732824427480917,-1.0
1,2.1,3.5,3.8,0.9755501222493889,-1.0
1,2.14,3.5,3.6,0.9701374397351946,2.5
1,2.8,3.4,2.7,0.9788271134805788,-1.0
1,2.25,3.4,3.5,0.976298997265269,-1.0
1,2.87,3.25,2.7,0.9741891186198094,-1.0
1,2.2,3.5,3.5,0.9746835443037977,-1.0
1,3.0,3.4,2.5,0.9732824427480917,2.4
